id,dataset,file_type,variable,dataset_var,entry_start_date,entry_end_date,temporal_resolution,units,aggregation,grid,file_grouping,security_level,path,documentation_notes,site_type
30,conus1_domain,zarr,slope_x,slope_x,,,static,-,static,conus1,,3,/hydrodata/PFCLM/CONUS1_baseline/simulations/daily/zarr/conus1_2003_preprocessed.zarr,,
31,conus1_domain,zarr,slope_y,slope_y,,,static,-,static,conus1,,3,/hydrodata/PFCLM/CONUS1_baseline/simulations/daily/zarr/conus1_2003_preprocessed.zarr,,
32,conus1_domain,zarr,van_genuchten_alpha,van_genuchten_alpha,,,static,-,static,conus1,,3,/hydrodata/PFCLM/CONUS1_baseline/simulations/daily/zarr/conus1_2003_preprocessed.zarr,,
33,conus1_domain,zarr,van_genuchten_n,van_genuchten_n,,,static,-,static,conus1,,3,/hydrodata/PFCLM/CONUS1_baseline/simulations/daily/zarr/conus1_2003_preprocessed.zarr,,
34,conus1_domain,zarr,veg_type_IGBP,vegetation_type,,,static,-,static,conus1,,3,/hydrodata/PFCLM/CONUS1_baseline/simulations/daily/zarr/conus1_2003_preprocessed.zarr,,
35,conus1_domain,zarr,veg_type_IGBP,vegtype,,,static,-,static,conus1,,3,/hydrodata/PFCLM/CONUS1_baseline/simulations/daily/zarr/conus1_2003_preprocessed.zarr,,
36,conus1_baseline_85,pfb,pressure_head,Press,,,hourly,m,-,conus1,wy_hour,1,/hydrodata/PFCLM/CONUS1_baseline/simulations/1985/raw_outputs/CONUS.5layer.pfclm.run4.out.press.{wy_hour:05d}.pfb,,
37,conus1_baseline_85,pfb,saturation,satur,,,hourly,-,-,conus1,wy_hour,1,/hydrodata/PFCLM/CONUS1_baseline/simulations/1985/raw_outputs/CONUS.5layer.pfclm.run4.out.satur.{wy_hour:05d}.pfb,,
38,conus1_baseline_85,C.pfb,latent_heat,eflx_lh_tot,,,hourly,w/m2,-,conus1,wy_hour,1,/hydrodata/PFCLM/CONUS1_baseline/simulations/1985/raw_outputs/CONUS.5layer.pfclm.run4.out.clm_output.{wy_hour:05d}.C.pfb,,
39,conus1_baseline_85,C.pfb,outward_longwave_radiation,eflx_lwrad_out,,,hourly,w/m2,-,conus1,wy_hour,1,/hydrodata/PFCLM/CONUS1_baseline/simulations/1985/raw_outputs/CONUS.5layer.pfclm.run4.out.clm_output.{wy_hour:05d}.C.pfb,,
40,conus1_baseline_85,C.pfb,sensible_heat,eflx_sh_tot,,,hourly,w/m2,-,conus1,wy_hour,1,/hydrodata/PFCLM/CONUS1_baseline/simulations/1985/raw_outputs/CONUS.5layer.pfclm.run4.out.clm_output.{wy_hour:05d}.C.pfb,,
41,conus1_baseline_85,C.pfb,ground_heat,eflx_soil_grnd,,,hourly,w/m2,-,conus1,wy_hour,1,/hydrodata/PFCLM/CONUS1_baseline/simulations/1985/raw_outputs/CONUS.5layer.pfclm.run4.out.clm_output.{wy_hour:05d}.C.pfb,,
42,conus1_baseline_85,C.pfb,evapotranspiration,qflx_evap_tot,,,hourly,mm/s,-,conus1,wy_hour,1,/hydrodata/PFCLM/CONUS1_baseline/simulations/1985/raw_outputs/CONUS.5layer.pfclm.run4.out.clm_output.{wy_hour:05d}.C.pfb,,
43,conus1_baseline_85,C.pfb,ground_evap,qflx_evap_grnd,,,hourly,mm/s,-,conus1,wy_hour,1,/hydrodata/PFCLM/CONUS1_baseline/simulations/1985/raw_outputs/CONUS.5layer.pfclm.run4.out.clm_output.{wy_hour:05d}.C.pfb,,
44,conus1_baseline_85,C.pfb,ground_evap_heat,qflx_evap_soil,,,hourly,mm/s,-,conus1,wy_hour,1,/hydrodata/PFCLM/CONUS1_baseline/simulations/1985/raw_outputs/CONUS.5layer.pfclm.run4.out.clm_output.{wy_hour:05d}.C.pfb,,
45,conus1_baseline_85,C.pfb,transpiration_leaves,qflx_evap_veg,,,hourly,mm/s,-,conus1,wy_hour,1,/hydrodata/PFCLM/CONUS1_baseline/simulations/1985/raw_outputs/CONUS.5layer.pfclm.run4.out.clm_output.{wy_hour:05d}.C.pfb,,
46,conus1_baseline_85,C.pfb,transpiration,qflx_tran_veg,,,hourly,mm/s,-,conus1,wy_hour,1,/hydrodata/PFCLM/CONUS1_baseline/simulations/1985/raw_outputs/CONUS.5layer.pfclm.run4.out.clm_output.{wy_hour:05d}.C.pfb,,
47,conus1_baseline_85,C.pfb,infiltration,qflx_infl,,,hourly,mm/s,-,conus1,wy_hour,1,/hydrodata/PFCLM/CONUS1_baseline/simulations/1985/raw_outputs/CONUS.5layer.pfclm.run4.out.clm_output.{wy_hour:05d}.C.pfb,,
48,conus1_baseline_85,C.pfb,swe,swe_out,,,hourly,mm,-,conus1,wy_hour,1,/hydrodata/PFCLM/CONUS1_baseline/simulations/1985/raw_outputs/CONUS.5layer.pfclm.run4.out.clm_output.{wy_hour:05d}.C.pfb,,
49,conus1_baseline_85,C.pfb,ground_temp,t_grnd,,,hourly,K,-,conus1,wy_hour,1,/hydrodata/PFCLM/CONUS1_baseline/simulations/1985/raw_outputs/CONUS.5layer.pfclm.run4.out.clm_output.{wy_hour:05d}.C.pfb,,
50,conus1_baseline_85,C.pfb,irrigation,qflx_qirr,,,hourly,mm/s,-,conus1,wy_hour,1,/hydrodata/PFCLM/CONUS1_baseline/simulations/1985/raw_outputs/CONUS.5layer.pfclm.run4.out.clm_output.{wy_hour:05d}.C.pfb,,
51,conus1_baseline_85,C.pfb,soil_temp,tsoil,,,hourly,K,-,conus1,wy_hour,1,/hydrodata/PFCLM/CONUS1_baseline/simulations/1985/raw_outputs/CONUS.5layer.pfclm.run4.out.clm_output.{wy_hour:05d}.C.pfb,,
52,conus1_baseline_mod,pfb,pressure_head,Press,,,hourly,m,-,conus1,wy_hour,1,/hydrodata/PFCLM/CONUS1_baseline/simulations/{wy}/raw_outputs/pressure/CONUS.{wy}.out.press.{wy_hour:05d}.pfb,,
53,conus1_baseline_mod,pfb,saturation,satur,,,hourly,-,-,conus1,wy_hour,1,/hydrodata/PFCLM/CONUS1_baseline/simulations/{wy}/raw_outputs/saturation/CONUS.{wy}.out.satur.{wy_hour:05d}.pfb,,
54,conus1_baseline_mod,C.pfb,latent_heat,eflx_lh_tot,,,hourly,w/m2,-,conus1,wy_hour,1,/hydrodata/PFCLM/CONUS1_baseline/simulations/{wy}/raw_outputs/clm_out/CONUS.{wy}.out.clm_output.{wy_hour:05d}.C.pfb,,
55,conus1_baseline_mod,C.pfb,outward_longwave_radiation,eflx_lwrad_out,,,hourly,w/m2,-,conus1,wy_hour,1,/hydrodata/PFCLM/CONUS1_baseline/simulations/{wy}/raw_outputs/clm_out/CONUS.{wy}.out.clm_output.{wy_hour:05d}.C.pfb,,
56,conus1_baseline_mod,C.pfb,sensible_heat,eflx_sh_tot,,,hourly,w/m2,-,conus1,wy_hour,1,/hydrodata/PFCLM/CONUS1_baseline/simulations/{wy}/raw_outputs/clm_out/CONUS.{wy}.out.clm_output.{wy_hour:05d}.C.pfb,,
57,conus1_baseline_mod,C.pfb,ground_heat,eflx_soil_grnd,,,hourly,w/m2,-,conus1,wy_hour,1,/hydrodata/PFCLM/CONUS1_baseline/simulations/{wy}/raw_outputs/clm_out/CONUS.{wy}.out.clm_output.{wy_hour:05d}.C.pfb,,
58,conus1_baseline_mod,C.pfb,evapotranspiration,qflx_evap_tot,,,hourly,mm/s,-,conus1,wy_hour,1,/hydrodata/PFCLM/CONUS1_baseline/simulations/{wy}/raw_outputs/clm_out/CONUS.{wy}.out.clm_output.{wy_hour:05d}.C.pfb,,
59,conus1_baseline_mod,C.pfb,ground_evap,qflx_evap_grnd,,,hourly,mm/s,-,conus1,wy_hour,1,/hydrodata/PFCLM/CONUS1_baseline/simulations/{wy}/raw_outputs/clm_out/CONUS.{wy}.out.clm_output.{wy_hour:05d}.C.pfb,,
60,conus1_baseline_mod,C.pfb,ground_evap_heat,qflx_evap_soil,,,hourly,mm/s,-,conus1,wy_hour,1,/hydrodata/PFCLM/CONUS1_baseline/simulations/{wy}/raw_outputs/clm_out/CONUS.{wy}.out.clm_output.{wy_hour:05d}.C.pfb,,
61,conus1_baseline_mod,C.pfb,transpiration_leaves,qflx_evap_veg,,,hourly,mm/s,-,conus1,wy_hour,1,/hydrodata/PFCLM/CONUS1_baseline/simulations/{wy}/raw_outputs/clm_out/CONUS.{wy}.out.clm_output.{wy_hour:05d}.C.pfb,,
62,conus1_baseline_mod,C.pfb,transpiration,qflx_tran_veg,,,hourly,mm/s,-,conus1,wy_hour,1,/hydrodata/PFCLM/CONUS1_baseline/simulations/{wy}/raw_outputs/clm_out/CONUS.{wy}.out.clm_output.{wy_hour:05d}.C.pfb,,
